ev_id,aircraft_key,regis_no,far_part,damage,make_raw,model_raw,acft_series,manufacturer,model_family,model_full,acft_category,num_eng,total_seats,cert_max_gr_wt,acft_year,oper_name,oper_sched,oper_pax_cargo,type_fly,afm_hrs,second_pilot,damage_score,source_era
20001211X12269,1,N401NA,135,SUBS,CESSNA,402B,402B,CESSNA,402,CESSNA 402,AIR,2,5,6300,,ALASKA ISLAND AIR,SCHD,PACA,UNK,,N,3,pre2008
20001211X12498,1,N8127K,135,SUBS,PIPER,PA-32-300,PA-32-300,PIPER,PA-32,PIPER PA-32,AIR,1,6,3400,,"SKAGWAY AIR SERVICE, INC.",NSCH,PAX,UNK,3266.0,N,3,pre2008
20001211X12276,1,N333DG,135,SUBS,CESSNA,A185F,A185F,CESSNA,A185,CESSNA A185,AIR,1,4,3350,,DOUG GEETING AVIATION,NSCH,PACA,UNK,3121.0,N,3,pre2008
20001211X12505,1,N222JA,135,SUBS,CESSNA,402,402,CESSNA,402,CESSNA 402,AIR,2,10,6300,,ALASKA ISLAND AIR,NSCH,CARG,UNK,,N,3,pre2008
20001211X12510,1,N30505,135,SUBS,PIPER,PA-32-300,PA-32=300,PIPER,PA-32,PIPER PA-32,AIR,1,6,3400,,L.A.B. FLYING SERVICE,NSCH,PAX,UNK,1594.0,N,3,pre2008
20001211X12512,1,N9869M,135,SUBS,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,2,3800,,"MARKAIR EXPRESS, INC.",NSCH,CARG,UNK,,N,3,pre2008
20001211X12519,1,N4112D,135,,PIPER,PA-31-350,PA-31-350,PIPER,PA-31,PIPER PA-31,AIR,2,8,7250,,"BERING AIR, INC.",SCHD,PACA,UNK,13107.0,N,0,pre2008
20001211X12749,1,N756AH,135,SUBS,CESSNA,206G,206G,CESSNA,206,CESSNA 206,AIR,1,6,3600,,,NSCH,PACA,UNK,5879.0,N,3,pre2008
20001211X12752,1,N3115Y,135,SUBS,HUGHES,369D,369D,HUGHES,369D,HUGHES 369D,HELI,1,4,3000,,"SOLOY HELICOPTERS, INC.",NSCH,PACA,UNK,6445.0,N,3,pre2008
20001211X12753,1,N9993M,135,SUBS,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,7,3800,,"MARKAIR EXPRESS, INC.",NSCH,PAX,UNK,10098.0,N,3,pre2008
20001211X13023,1,N9526F,135,SUBS,CESSNA,208,208,CESSNA,208,CESSNA 208,AIR,1,8,3800,,MARKAIR EXPRESS,NSCH,CARG,UNK,5993.0,N,3,pre2008
20001211X13031,1,N1200A,135,SUBS,PIPER,PA-18,PA-18,PIPER,PA-18,PIPER PA-18,AIR,1,3,1750,,,NSCH,PACA,UNK,5639.0,,3,pre2008
20001211X13033,1,N1530H,135,SUBS,GRUMMAN,G-21,G-21,GRUMMAN,21,GRUMMAN 21,AIR,2,9,8920,,"BINGMAN, PHILLIP L.",NSCH,PAX,UNK,18204.0,,3,pre2008
20001211X13039,1,N54938,135,SUBS,PIPER,PA-18,PA-18,PIPER,PA-18,PIPER PA-18,AIR,1,2,1750,,"LENTSCH, WILLIAM J.",NSCH,PAX,UNK,7155.0,,3,pre2008
20001211X13044,1,N5074R,135,SUBS,HUGHES,369D,369D,HUGHES,369D,HUGHES 369D,HELI,1,5,3000,,"SOLOY HELICOPTERS, INC.",NSCH,PAX,UNK,6624.0,N,3,pre2008
20001211X13296,1,N84627,135,SUBS,CESSNA,185,185,CESSNA,185,CESSNA 185,AIR,1,4,3310,,"KETCHIKAN AIR SERVICE, INC.",NSCH,PAX,UNK,11275.0,N,3,pre2008
20001211X13499,1,N208SC,135,DEST,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,4,3800,,,NSCH,CARG,UNK,9067.0,N,4,pre2008
20001206X01412,1,N13GA,135,SUBS,de Havilland,DHC-3,DHC-3,DEHAVILLAND,3,DEHAVILLAND 3,AIR,1,11,7967,,WINGS AIRLINE SEVICE,NSCH,PAX,UNK,7672.0,N,3,pre2008
20001206X01633,1,N8297X,135,SUBS,PIPER,PA-32-301,PA-32-301,PIPER,PA-32,PIPER PA-32,AIR,1,6,3600,,,NSCH,PACA,UNK,9486.0,N,3,pre2008
20001206X01634,1,N6CC,135,SUBS,PIPER,PA-31-310,PA-31-310,PIPER,PA-31,PIPER PA-31,AIR,2,8,6500,,GULKANA AIR SERVICE,NSCH,PAX,UNK,,N,3,pre2008
20001206X01635,1,N39GT,135,SUBS,AEROSPATIALE,AS-350,AS-350,AEROSPATIALE,350,AEROSPATIALE 350,HELI,1,7,4630,,"TEMSCO HELICOPTERS, INC.",NSCH,PAX,UNK,5618.0,N,3,pre2008
20001206X01897,1,N126UA,135,DEST,de Havilland,DHC-2,DHC-2,DEHAVILLAND,2,DEHAVILLAND 2,AIR,1,7,5370,,,NSCH,PAX,UNK,22159.0,N,4,pre2008
20001206X01899,1,N17394,135,DEST,DE HAVILLAND,DHC-2,DHC-2,DEHAVILLAND,2,DEHAVILLAND 2,AIR,1,7,5090,,TALNON AIR SERVICE,NSCH,PAX,UNK,6775.0,N,4,pre2008
20001206X01900,1,N4839S,135,DEST,PIPER,PA-32-260,PA-32-260,PIPER,PA-32,PIPER PA-32,AIR,1,6,3400,,,NSCH,PACA,UNK,4702.0,N,4,pre2008
20001211X13673,1,N630PA,135,MINR,SWEARINGEN,SA227,SA227,SWEARINGEN,SA227,SWEARINGEN SA227,AIR,2,18,14500,,,SCHD,PACA,UNK,22287.0,Y,2,pre2008
20001206X00828,1,N29cf,135,MINR,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,7,3800,,"SPERNAK AIRWAYS, INC.",NSCH,PACA,UNK,13480.0,N,2,pre2008
20001206X01636,1,N769AS,121,,BOEING,737-400,737-400,BOEING,737,BOEING 737,AIR,2,0,131900,,"ALASKA AIRLINES, INC",SCHD,PACA,UNK,,Y,0,pre2008
20001211X13675,1,N185FK,135,SUBS,CESSNA,A185F,A185F,CESSNA,A185,CESSNA A185,AIR,1,6,3350,,HAGELAND AVIATION SERVICES,NSCH,CARG,UNK,1808.0,N,3,pre2008
20001211X13809,1,N38393,135,SUBS,PIPER,PA-32,PA-32,PIPER,PA-32,PIPER PA-32,AIR,1,7,3400,,,NSCH,CARG,UNK,11569.0,N,3,pre2008
20001211X13814,1,N43527,135,SUBS,PIPER,PA-32,PA-32,PIPER,PA-32,PIPER PA-32,AIR,1,7,3400,,PENINSULA AIRWAYS,NSCH,PAX,UNK,5955.0,,3,pre2008
20001206X00690,1,N6470H,135,SUBS,CESSNA,207,207,CESSNA,207,CESSNA 207,AIR,1,7,3800,,,SCHD,PAX,UNK,12245.0,N,3,pre2008
